object_id,semantic_label,first_observed_ns,last_observed_ns,bbox_cx,bbox_cy,bbox_cz,bbox_dx,bbox_dy,bbox_dz,bbox_volume,object_mesh_vertices,object_mesh_faces,dynamic_trajectory_points,dynamic_point_frames,global_vertices_in_bbox,global_vertices_in_bbox_same_label,vertices_candidate,vertices_removed,repair_candidate,repair_candidate_vertices,prior_matched,prior_match_object_id,prior_match_distance_m,session_state
5692549928996306944,11,0,17500000000,-15.3618,22.2668,1.37069,0.309199,0.841394,0.720549,0.187457,13878,4626,0,0,219,0,0,0,true,13878,false,0,inf,current
5692549928996306945,2,7593017999,10643019999,-18.0339,24.3582,2.59805,0.14279,0.210321,0.167592,0.00503309,0,0,42,42,0,0,0,0,false,0,false,0,inf,current
5692549928996306946,-1,12193020000,17793019999,-15.1121,25.5187,2.09774,0.455735,0.565322,1.48865,0.383531,0,0,76,76,0,0,0,0,false,0,false,0,inf,current
5692549928996306947,2,0,18446744073709551615,-13.842,21.939,1.80216,0.975868,0.796734,1.59364,1.23906,11790,3930,0,0,610,0,0,0,false,0,false,0,inf,current
5692549928996306948,2,0,18446744073709551615,-13.9077,21.6073,1.12947,0.530759,0.0423012,0.228713,0.00513501,1860,620,0,0,27,0,0,0,true,1860,false,0,inf,current
5692549928996306949,11,0,18446744073709551615,-15.0588,22.2431,1.48007,0.91324,0.883297,0.946778,0.76373,38868,12956,0,0,407,0,0,0,true,38868,false,0,inf,current
5692549928996306950,11,0,18446744073709551615,-13.1117,22.2421,1.47341,0.960238,0.887363,0.954884,0.813638,33090,11030,0,0,503,0,0,0,true,33090,false,0,inf,current
5692549928996306951,11,0,18446744073709551615,-11.8311,22.2494,1.47835,0.944155,0.872362,0.951338,0.783565,41382,13794,0,0,581,0,0,0,true,41382,false,0,inf,current
5692549928996306952,15,0,18446744073709551615,-8.99955,26.8009,2.24174,0.28064,0.575409,2.05576,0.33197,3426,1142,0,0,895,0,0,0,false,0,false,0,inf,current
5692549928996306953,2,0,42500000000,-13.055,27.8209,1.82541,0.62794,0.641298,1.39252,0.560764,9465,3155,0,0,759,0,0,0,false,0,false,0,inf,current
